batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,10,148.998,119,119,100.0,0.37,483,6.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,11,127.775,119,119,100.0,0.37,1384,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,19,156.352,119,119,100.0,0.42,1106,6.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,2,105.407,119,119,100.0,0.37,6047,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,20,131.128,119,119,100.0,0.42,1001,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,21,104.517,119,119,100.0,0.42,6134,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,22,98.759,119,119,100.0,0.42,3639,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,23,106.838,119,119,100.0,0.42,3300,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,24,105.558,119,119,100.0,0.42,3276,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,25,132.269,119,119,100.0,0.42,6114,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,26,50.946,119,119,100.0,0.42,3684,2.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,27,127.92,119,119,100.0,0.42,2459,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,28,105.739,119,119,100.0,0.42,3527,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,3,77.149,119,119,100.0,0.37,5906,3.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,4,131.078,119,119,100.0,0.37,1095,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,5,157.255,119,119,100.0,0.37,367,6.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,6,25.99,119,119,100.0,0.37,671,1.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,7,99.231,119,119,100.0,0.37,5082,4.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,8,133.971,119,119,100.0,0.37,2113,5.0
1,20250507172355,code/analyses/logfiles/CSMA_1_1.testlog,1,9,129.324,119,119,100.0,0.37,1385,5.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,10,156.236,119,119,100.0,0.37,484,6.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,11,131.208,119,119,100.0,0.37,1330,5.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,19,154.266,119,119,100.0,0.42,1217,6.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,2,106.607,119,119,100.0,0.37,6057,4.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,20,134.681,119,119,100.0,0.42,1008,5.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,21,103.953,119,119,100.0,0.42,6363,4.0
2,20250507172355,code/analyses/logfiles/CSMA_1_2.testlog,1,22,103.571,119,119,100.0,0.42,4193,4.0
