batch,timestamp,logfile,sendrate,sender,avg_delay_s,sent,received,success_ratio_percent,throughput_bytes_per_s,not_for_us,avg_hops
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,10,772.0,100,4,4.0,0.52,0,8.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,11,497.25,100,4,4.0,0.61,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,19,652.846,100,4,4.0,0.62,0,7.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,2,345.333,100,3,3.0,0.52,0,3.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,20,508.596,100,4,4.0,0.48,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,21,507.096,100,3,3.0,0.77,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,22,380.596,100,4,4.0,0.57,0,5.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,23,600.096,100,4,4.0,0.57,0,5.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,24,401.096,100,4,4.0,0.71,0,5.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,25,178.846,100,4,4.0,0.5,0,2.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,27,551.096,100,4,4.0,0.52,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,28,422.596,100,4,4.0,0.49,0,5.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,3,435.0,100,3,3.0,0.49,0,4.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,4,559.333,100,3,3.0,0.51,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,5,560.0,100,3,3.0,0.65,0,7.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,6,83.714,100,5,5.0,0.02,0,1.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,7,955.0,100,3,3.0,0.39,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,8,574.5,100,4,4.0,0.56,0,6.0
1,20250509141206,code/analyses/logfiles/TSCH_1_1.testlog,1,9,642.0,100,4,4.0,0.56,0,6.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,10,698.0,100,3,3.0,0.54,0,7.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,11,182860.25,100,4,4.0,0.16,0,5.5
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,19,133526.763,100,3,3.0,0.15,0,7.67
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,2,128158.0,100,3,3.0,0.12,0,4.67
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,20,94811.346,100,4,4.0,0.18,0,4.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,21,125226.429,100,3,3.0,0.14,0,3.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,22,124707.096,100,3,3.0,0.13,0,4.67
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,23,370.096,100,3,3.0,0.61,0,5.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,24,97461.846,100,4,4.0,0.19,0,4.5
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,25,132209.763,100,3,3.0,0.15,0,2.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,26,731.096,100,3,3.0,0.84,0,5.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,27,845.346,100,4,4.0,0.19,0,6.75
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,28,130971.763,100,3,3.0,0.14,0,4.67
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,3,405.667,100,3,3.0,0.79,0,4.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,4,95061.75,100,4,4.0,0.16,0,5.5
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,5,88750.245,100,4,4.0,0.16,0,6.75
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,6,122701.389,100,6,6.0,0.03,0,1.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,7,557.333,100,3,3.0,0.59,0,6.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,8,637.333,100,3,3.0,0.49,0,6.0
2,20250509141206,code/analyses/logfiles/TSCH_1_2.testlog,1,9,90102.5,100,4,4.0,0.16,0,5.75
